,host,timestamp,metricType,metric_value
0,HOST-115AF0E56D335A15,2025-09-01 00:00:00,Read Ops,0.0
1,HOST-115AF0E56D335A15,2025-09-01 00:01:00,Read Ops,0.07632006539238824
2,HOST-115AF0E56D335A15,2025-09-01 00:02:00,Read Ops,0.4875780741373698
3,HOST-115AF0E56D335A15,2025-09-01 00:03:00,Read Ops,0.29918807993332547
4,HOST-115AF0E56D335A15,2025-09-01 00:04:00,Read Ops,0.13287292586432561
5,HOST-115AF0E56D335A15,2025-09-01 00:05:00,Read Ops,0.06117840607961019
6,HOST-115AF0E56D335A15,2025-09-01 00:06:00,Read Ops,0.07618549797270033
7,HOST-115AF0E56D335A15,2025-09-01 00:07:00,Read Ops,0.04451121224297417
8,HOST-115AF0E56D335A15,2025-09-01 00:08:00,Read Ops,0.0452231764793396
9,HOST-115AF0E56D335A15,2025-09-01 00:09:00,Read Ops,0.0
10,HOST-115AF0E56D335A15,2025-09-01 00:10:00,Read Ops,0.0
11,HOST-115AF0E56D335A15,2025-09-01 00:11:00,Read Ops,0.08751490381028916
12,HOST-115AF0E56D335A15,2025-09-01 00:12:00,Read Ops,0.06021813551584879
13,HOST-115AF0E56D335A15,2025-09-01 00:13:00,Read Ops,0.1015847192870246
14,HOST-115AF0E56D335A15,2025-09-01 00:14:00,Read Ops,0.0
15,HOST-115AF0E56D335A15,2025-09-01 00:15:00,Read Ops,0.0
16,HOST-115AF0E56D335A15,2025-09-01 00:16:00,Read Ops,0.12500271532270643
17,HOST-115AF0E56D335A15,2025-09-01 00:17:00,Read Ops,0.043917434083090894
18,HOST-115AF0E56D335A15,2025-09-01 00:18:00,Read Ops,0.017059024423360825
19,HOST-115AF0E56D335A15,2025-09-01 00:19:00,Read Ops,0.0
20,HOST-115AF0E56D335A15,2025-09-01 00:20:00,Read Ops,0.0
21,HOST-115AF0E56D335A15,2025-09-01 00:21:00,Read Ops,0.07647766007317437
22,HOST-115AF0E56D335A15,2025-09-01 00:22:00,Read Ops,0.00567704439163208
23,HOST-115AF0E56D335A15,2025-09-01 00:23:00,Read Ops,0.10564067628648545
24,HOST-115AF0E56D335A15,2025-09-01 00:24:00,Read Ops,0.0
25,HOST-115AF0E56D335A15,2025-09-01 00:25:00,Read Ops,0.05058169033792284
26,HOST-115AF0E56D335A15,2025-09-01 00:26:00,Read Ops,0.09318499432669745
27,HOST-115AF0E56D335A15,2025-09-01 00:27:00,Read Ops,0.043543103668424815
28,HOST-115AF0E56D335A15,2025-09-01 00:28:00,Read Ops,0.039139380057652794
29,HOST-115AF0E56D335A15,2025-09-01 00:29:00,Read Ops,0.0
30,HOST-115AF0E56D335A15,2025-09-01 00:30:00,Read Ops,
31,HOST-115AF0E56D335A15,2025-09-01 00:31:00,Read Ops,0.3173551824357775
32,HOST-115AF0E56D335A15,2025-09-01 00:32:00,Read Ops,0.005516389177905188
33,HOST-115AF0E56D335A15,2025-09-01 00:33:00,Read Ops,2.321596103409926
34,HOST-115AF0E56D335A15,2025-09-01 00:34:00,Read Ops,0.0
35,HOST-115AF0E56D335A15,2025-09-01 00:35:00,Read Ops,0.03339344263076782
36,HOST-115AF0E56D335A15,2025-09-01 00:36:00,Read Ops,0.09838645988040501
37,HOST-115AF0E56D335A15,2025-09-01 00:37:00,Read Ops,0.04353883531358507
38,HOST-115AF0E56D335A15,2025-09-01 00:38:00,Read Ops,0.05005506012174818
39,HOST-115AF0E56D335A15,2025-09-01 00:39:00,Read Ops,0.038931714163886175
40,HOST-115AF0E56D335A15,2025-09-01 00:40:00,Read Ops,0.005559447324938244
