,timestamp,metricType,host,value,value_norm
0,2025-08-23 18:31:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.565,-2.218521492656269
1,2025-08-23 18:32:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.558,-2.253845458580213
2,2025-08-23 18:33:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.55,-2.294215705350537
3,2025-08-23 18:34:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.556,-2.2639380202728296
4,2025-08-23 18:35:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.562,-2.2336603351951227
5,2025-08-23 18:36:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.559,-2.2487991777339764
6,2025-08-23 18:37:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.57,-2.1932900884248703
7,2025-08-23 18:38:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.57,-2.1932900884248703
8,2025-08-23 18:39:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.57,-2.1932900884248703
9,2025-08-23 18:40:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.569,-2.198336369271107
10,2025-08-23 18:41:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.566,-2.2134752118099605
11,2025-08-23 18:42:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.558,-2.253845458580213
12,2025-08-23 18:43:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.56,-2.243752896887668
13,2025-08-23 18:44:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.555,-2.2689843011190667
14,2025-08-23 18:45:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.553,-2.2790768628116833
15,2025-08-23 18:46:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.552,-2.28412314365792
16,2025-08-23 18:47:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.556,-2.2639380202728296
17,2025-08-23 18:48:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.556,-2.2639380202728296
18,2025-08-23 18:49:00,Memory Usage %,HOST-F52B15BB4B4D209D,90.559,-2.2487991777339764
